year,Agua caliente sanitaria,Calefacci贸n de espacios,Cocina,Iluminaci贸n,"Informaci贸n, comunicaci贸n y entretenimiento"
2000,31.56485689991953,169.6996110099462,7.35501583993849,6.459402901072391,5.666799819242855
2001,31.43350758973932,184.6446674929117,7.355708389416598,6.741539094365634,5.808639198923534
2002,31.40759521136095,171.2011953919395,7.381544698132844,6.94916308486268,5.880427947945728
2003,31.34163584181009,184.8876944909855,7.39869922222735,7.092519802297047,5.926413678402858
2004,31.27913455209163,182.0250415960341,7.414842214486448,7.193413944686213,5.975385630837515
2005,31.18134667659849,187.974422276776,7.420479318664318,7.218660129834622,6.089943083546223
2006,31.10125123926852,181.848754045688,7.427539863837959,7.322322505727872,6.227010468367949
2007,31.08995522523342,159.079682874239,7.460046705947541,7.442947357626998,6.525047344660623
2008,31.1991483768817,175.8872777156283,7.515541913359329,7.259490488020224,6.917271222819732
2009,31.28459446889701,171.8387738996351,7.593608589419425,7.084618679171215,7.005729917945325
2010,31.31634183578705,194.0370260353968,7.66334247442405,7.314987959086101,6.914303300279673
2011,31.43267475052416,149.3595522001627,7.722283896689282,7.18013898369415,6.707425003427018
2012,31.55156212598012,169.9536941446354,7.787072955001666,7.050836604364684,6.664428668770668
2013,31.6989238636227,188.1889924080043,7.851834108398577,6.950705237807179,6.544213691588267
2014,31.84781119319916,140.550102103588,7.927910438431606,6.864479025695515,6.381247359381644
2015,31.97334874784683,156.0097813701563,7.988623855853669,6.801231574527874,6.349344151715008
2016,32.10218741406873,167.0520626605059,8.054437145747208,6.654340759564303,6.175078788509017
2017,32.20203779790064,161.2966756781629,8.11095562939589,6.439068069847838,5.968581890340198
2018,32.23309485361978,146.9532209186723,8.150650567261101,6.181930664233759,5.79135938248726
2019,32.24789256224708,149.823738996911,8.185766115795277,5.384829813094415,5.734982933110773
2020,34.01929200477506,140.1296575040439,8.713833462683265,5.030617106574311,5.964434021685083
2021,33.16502086095473,166.2058476181555,8.502498255575453,4.321109028399068,5.948264070505825
2022,32.59023356412138,131.8652429588218,8.5371936450358,3.708332940795911,5.752959443595708
2023,31.90900175269354,136.7950838156347,8.600705311488603,3.526541187803892,5.679430369727698
2024,32.02378472554762,140.0444401069563,8.683065541872391,3.396017695426433,5.686145914709405
